# experiment: Feature_4
# description: Test the BG status builder
# start_time: 2026-04-05T21:00:10.217327+00:00
timestamp,iteration,hold_s,refresh_rate,pattern,flip_count,experiment
2026-04-05T21:00:17.127621+00:00,1,5,OFF,FF,4398,Feature_4
2026-04-05T21:00:23.600404+00:00,2,5,OFF,FF,1,Feature_4
2026-04-05T21:00:30.096827+00:00,3,5,OFF,FF,1,Feature_4
2026-04-05T21:00:36.575871+00:00,4,5,OFF,FF,1,Feature_4
2026-04-05T21:00:43.072394+00:00,5,5,OFF,FF,1,Feature_4
2026-04-05T21:00:49.552084+00:00,6,5,OFF,FF,1,Feature_4
2026-04-05T21:00:56.047114+00:00,7,5,OFF,FF,1,Feature_4
2026-04-05T21:01:02.527386+00:00,8,5,OFF,FF,1,Feature_4
2026-04-05T21:01:09.023120+00:00,9,5,OFF,FF,1,Feature_4
2026-04-05T21:01:15.502069+00:00,10,5,OFF,FF,1,Feature_4
2026-04-05T21:01:21.998430+00:00,11,5,OFF,FF,1,Feature_4
2026-04-05T21:01:28.478184+00:00,12,5,OFF,FF,1,Feature_4
2026-04-05T21:01:34.974351+00:00,13,5,OFF,FF,1,Feature_4
2026-04-05T21:01:41.454790+00:00,14,5,OFF,FF,1,Feature_4
2026-04-05T21:01:47.949323+00:00,15,5,OFF,FF,1,Feature_4
2026-04-05T21:01:54.429171+00:00,16,5,OFF,FF,1,Feature_4
2026-04-05T21:02:00.924165+00:00,17,5,OFF,FF,1,Feature_4
2026-04-05T21:02:07.405270+00:00,18,5,OFF,FF,1,Feature_4
2026-04-05T21:02:13.900761+00:00,19,5,OFF,FF,1,Feature_4
2026-04-05T21:02:20.380003+00:00,20,5,OFF,FF,1,Feature_4
2026-04-05T21:02:26.875592+00:00,21,5,OFF,FF,1,Feature_4
2026-04-05T21:02:33.355728+00:00,22,5,OFF,FF,1,Feature_4
2026-04-05T21:02:39.851306+00:00,23,5,OFF,FF,1,Feature_4
2026-04-05T21:02:46.331425+00:00,24,5,OFF,FF,1,Feature_4
2026-04-05T21:02:52.826782+00:00,25,5,OFF,FF,1,Feature_4
2026-04-05T21:02:59.306796+00:00,26,5,OFF,FF,1,Feature_4
2026-04-05T21:03:05.803171+00:00,27,5,OFF,FF,1,Feature_4
2026-04-05T21:03:12.282249+00:00,28,5,OFF,FF,1,Feature_4
2026-04-05T21:03:18.822895+00:00,29,5,OFF,FF,1,Feature_4
2026-04-05T21:03:25.257769+00:00,30,5,OFF,FF,1,Feature_4
2026-04-05T21:03:31.753417+00:00,31,5,OFF,FF,2,Feature_4
